Group,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa ,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus,R.mucosa+S.aureus
351.98526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892004.5234,0,0,0,0,0,0,0,0
294.0755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358.00527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307.10611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307.10516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307.1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336.12234,1870098.969,2003745.14,1964009.688,2003623.953,256644.7003,225175.0063,20090059.77,215743.1401,2638002.401,2462700.781,25700009.34,2003893.234,262919.4006,186947.0078,219429.1563,0,0,0,0,0,0,0,279494.75,271987.9006,266646.7813,355589.4688,363571.7813,288146.0063,314765.0094,3510046.438
339.0818,12489.6582,0,0,1700003.824,21292.19531,0,17211.00215,1700009.697,227300.0027,13273.74219,31385.23828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13986.27344,0,12443.71875,0
272.11228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440.11008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195.07789,0,0,0,0,130099.4619,0,0,0,0,0,0,0,0,0,0,93400.46484,0,0,0,0,0,0,13135.0042,9873.949219,0,0,0,0,13663.62988,12351.3252
291.0615,0,25185.18945,22562.63281,27994.68164,26593.42188,1720000.488,2800300.996,30000004.97,37319.82813,174900.7539,392004.2383,23458.61328,33322.71484,22998.60055,34375.13672,350055.0078,321006.746,342003.2383,0,33465.00234,0,0,0,200186.9297,179004.1426,200733.6152,282005.2285,0,145006.0039,26644.3418
339.08159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238.03457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244.13071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256.04578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110046.3801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474.16574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234.13482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12441.38379,143600.15,0,0,0,0,0,14343.14453,0,16872.27148,180083.496,0,12676.98242,0
310.07012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310.07106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395.03759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373.21176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401.18586,0,7856.828613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387.11914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357.08313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274.17897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154.08533,0,0,0,0,0,9925.983398,0,0,0,138800.5869,11165.77637,12449.80047,12949.54492,0,0,0,0,0,0,5996.585449,0,0,0,0,0,0,0,0,0,0
151.08574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.0967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
